margin_capital,total_project_cost,monthly_emi,competitor_count,min_distance_km,demand_score,gross_margin,gst_rate,is_viable
114800.0,906800.0,16547.97,2,0.43,73.5,19.5,5.0,1
72200.0,621100.0,11334.3,2,0.63,63.4,20.1,0.0,1
97400.0,974200.0,17777.94,2,2.36,62.5,19.3,5.0,1
27800.0,242200.0,4419.85,2,2.69,62.1,17.1,5.0,1
61400.0,443400.0,8091.5,5,0.23,68.6,27.0,0.0,1
66400.0,638200.0,11646.36,1,3.87,61.0,28.1,18.0,1
151400.0,1207900.0,22042.67,2,1.28,51.1,28.8,0.0,1
91600.0,751600.0,13715.76,6,0.51,64.9,8.7,5.0,1
41700.0,455400.0,8310.48,2,5.54,63.3,17.5,0.0,1
69900.0,712800.0,13007.71,5,1.44,79.3,29.9,0.0,1
67900.0,711000.0,12974.86,4,1.87,52.3,20.3,18.0,1
107900.0,930700.0,16984.12,4,1.81,60.0,14.5,18.0,1
119500.0,1037900.0,18940.38,0,5.98,67.6,25.3,0.0,1
27200.0,220100.0,4016.55,4,2.51,55.4,48.8,18.0,1
61700.0,621200.0,11336.13,0,7.63,50.6,32.4,18.0,1
37100.0,271100.0,4947.24,1,0.56,75.9,48.2,5.0,1
92200.0,791500.0,14443.89,1,5.31,73.2,36.5,18.0,1
72800.0,541900.0,9889.0,2,0.69,53.5,43.7,5.0,1
40700.0,330400.0,6029.39,0,5.35,93.3,26.0,0.0,1
26600.0,250300.0,4567.66,5,0.38,78.2,35.3,5.0,1
36800.0,273400.0,4989.21,5,0.87,56.6,63.0,18.0,1
168900.0,1516000.0,27665.11,4,4.49,78.9,20.0,0.0,1
189100.0,1515200.0,27650.51,1,2.4,83.2,28.8,0.0,1
35200.0,336300.0,6137.06,8,1.05,83.3,39.6,5.0,1
24900.0,209400.0,3821.29,2,1.04,64.8,16.7,5.0,1
160900.0,1596400.0,29132.31,1,0.42,65.8,40.8,0.0,1
153400.0,1105200.0,20168.52,2,0.99,60.1,27.9,0.0,1
33200.0,339400.0,6193.63,6,0.58,80.8,12.6,5.0,1
52400.0,409700.0,7476.51,0,5.12,75.5,18.8,5.0,1
64700.0,655800.0,11967.53,4,1.33,69.3,16.7,5.0,1
113900.0,1160500.0,21177.68,2,2.24,71.4,24.6,18.0,1
72300.0,527500.0,9626.22,4,0.53,54.5,15.1,5.0,1
103700.0,1137500.0,20757.96,4,4.92,80.2,18.4,5.0,1
66500.0,476600.0,8697.36,3,6.17,63.0,40.4,5.0,1
62800.0,660000.0,12044.18,5,0.11,74.1,41.0,5.0,0
106200.0,1014700.0,18517.01,3,3.73,77.4,28.4,0.0,1
110200.0,983300.0,17944.0,2,0.64,77.7,29.9,0.0,1
111800.0,1188500.0,21688.65,0,9.73,72.5,23.7,18.0,1
143100.0,1027300.0,18746.95,2,3.6,44.5,41.0,18.0,1
20900.0,217800.0,3974.58,5,0.3,69.9,15.5,5.0,0
12800.0,92400.0,1686.18,2,11.21,71.2,49.9,18.0,1
148300.0,1315600.0,24008.06,3,1.03,76.2,39.7,0.0,1
34800.0,307500.0,5611.49,5,0.56,81.9,14.8,5.0,1
212700.0,1547000.0,28230.82,5,0.12,76.1,21.8,18.0,1
21500.0,179600.0,3277.48,6,0.13,73.2,61.2,18.0,1
218400.0,2133500.0,38933.72,1,7.08,73.9,13.6,18.0,1
53300.0,493900.0,9013.06,2,3.56,84.7,42.5,5.0,1
79500.0,822100.0,15002.3,0,8.5,91.9,27.9,18.0,1
46100.0,508100.0,9272.19,2,1.57,66.6,27.1,0.0,1
80300.0,603200.0,11007.65,5,2.45,70.9,10.4,5.0,1
70800.0,754900.0,13775.99,0,5.18,56.2,31.0,0.0,1
85100.0,862900.0,15746.85,1,0.71,66.4,14.1,5.0,1
43700.0,386600.0,7054.97,1,1.84,68.7,24.2,0.0,1
160400.0,1179000.0,21515.28,0,5.97,85.1,26.7,0.0,1
57400.0,528900.0,9651.77,2,1.67,80.6,19.7,0.0,1
48200.0,428900.0,7826.89,1,0.99,82.1,27.5,0.0,1
37200.0,349700.0,6381.59,6,0.56,89.0,18.1,5.0,1
53100.0,434200.0,7923.61,5,0.2,67.6,14.6,5.0,0
69200.0,701300.0,12797.85,1,1.94,73.4,23.8,0.0,1
66500.0,508200.0,9274.02,2,6.13,58.7,68.0,18.0,1
95800.0,964200.0,17595.45,4,2.38,78.0,11.6,5.0,1
38800.0,363200.0,6627.95,0,4.84,54.9,25.4,0.0,1
63200.0,527600.0,9628.04,4,7.68,74.6,37.4,5.0,1
173100.0,1784700.0,32568.55,1,0.69,68.1,30.5,0.0,1
46600.0,431700.0,7877.99,4,1.67,83.1,35.6,5.0,1
76800.0,655400.0,11960.23,4,1.2,70.2,23.3,18.0,1
120700.0,896100.0,16352.71,1,1.12,80.4,24.1,0.0,1
71400.0,666600.0,12164.62,3,1.41,64.0,38.6,5.0,1
136900.0,1086500.0,19827.27,3,1.23,47.8,30.5,0.0,1
115900.0,1005300.0,18345.47,1,4.82,69.3,24.5,0.0,1
74600.0,595100.0,10859.83,2,1.51,72.3,42.8,5.0,1
177700.0,1346800.0,24577.42,1,4.79,79.8,35.0,0.0,1
20700.0,193900.0,3538.43,1,1.19,80.7,9.6,5.0,1
92400.0,820500.0,14973.1,2,0.73,77.9,8.5,5.0,1
116100.0,975400.0,17799.84,1,2.7,66.6,14.4,18.0,1
141200.0,1405000.0,25639.5,2,0.38,70.7,35.1,0.0,1
145200.0,1288800.0,23519.0,2,2.1,65.7,22.4,0.0,1
99500.0,1090200.0,19894.79,0,8.29,60.3,28.0,0.0,1
60800.0,491900.0,8976.56,0,5.05,63.4,26.1,0.0,1
62700.0,497200.0,9073.28,4,1.06,78.9,16.8,0.0,1
135400.0,1264300.0,23071.9,3,2.45,85.6,13.4,18.0,1
200400.0,2065900.0,37700.1,4,0.35,63.2,19.0,18.0,0
73800.0,761100.0,13889.13,3,1.0,72.4,23.5,0.0,1
68100.0,678800.0,12387.25,0,5.23,48.7,54.3,5.0,1
22300.0,164300.0,2998.27,3,0.7,65.6,43.5,5.0,1
45300.0,420300.0,7669.95,7,0.12,77.3,18.3,5.0,0
101900.0,850300.0,15516.92,2,0.47,69.6,31.6,0.0,1
101000.0,777100.0,14181.11,4,5.78,92.7,12.6,5.0,1
178400.0,1409000.0,25712.5,4,1.78,75.4,29.6,0.0,1
47100.0,377200.0,6883.43,4,4.66,54.0,16.5,18.0,1
24800.0,207000.0,3777.49,1,0.48,57.0,39.4,18.0,1
71600.0,552700.0,10086.09,5,1.32,71.7,18.6,5.0,1
149700.0,1392100.0,25404.09,4,9.41,64.4,40.4,18.0,1
42100.0,390800.0,7131.61,1,0.89,63.5,23.9,0.0,1
86400.0,856200.0,15624.58,6,0.67,84.6,21.3,5.0,1
59200.0,596000.0,10876.26,2,7.95,70.9,30.1,0.0,1
20800.0,159000.0,2901.55,1,1.99,89.3,55.6,5.0,1
154000.0,1157000.0,21113.81,3,1.46,65.2,16.5,18.0,1
44700.0,475300.0,8673.63,2,4.49,35.0,35.4,5.0,1
86200.0,728700.0,13297.87,11,0.2,74.3,15.4,5.0,0
21300.0,162700.0,2969.07,2,1.04,72.4,42.4,5.0,1
121800.0,944200.0,17230.47,0,8.53,79.3,31.3,0.0,1
81400.0,595900.0,10874.43,3,1.09,65.5,17.0,5.0,1
37800.0,283000.0,5164.4,3,3.42,82.1,27.8,0.0,1
108800.0,968900.0,17681.22,3,0.69,78.1,37.7,18.0,1
114800.0,1176800.0,21475.13,5,2.58,86.4,19.2,5.0,1
58000.0,633500.0,11560.59,3,7.89,73.4,23.0,0.0,1
118900.0,980100.0,17885.6,1,5.88,79.0,39.2,18.0,1
27300.0,283600.0,5175.35,4,2.22,80.5,14.6,5.0,1
36200.0,330200.0,6025.74,2,2.91,46.4,25.6,0.0,1
99500.0,1044700.0,19064.47,2,1.82,88.8,27.8,0.0,1
69400.0,735200.0,13416.48,1,0.48,70.3,13.5,5.0,1
147200.0,1132100.0,20659.42,1,0.54,87.5,33.2,0.0,1
71000.0,564800.0,10306.9,3,5.25,61.9,52.0,5.0,1
82600.0,710100.0,12958.44,2,0.92,57.1,14.9,5.0,1
73300.0,581900.0,10618.95,6,0.12,84.1,15.7,5.0,0
123200.0,969000.0,17683.04,4,4.74,50.5,29.9,18.0,1
146600.0,1319700.0,24082.88,3,2.45,92.3,27.5,18.0,1
136000.0,1004000.0,18321.75,1,8.12,74.0,22.7,0.0,1
85100.0,735300.0,13418.31,2,1.39,69.4,16.9,18.0,1
37000.0,267200.0,4876.07,2,0.71,43.8,33.5,18.0,1
79800.0,636700.0,11618.98,2,3.23,85.4,15.5,5.0,1
124700.0,1045500.0,19079.07,2,0.99,70.6,28.0,18.0,1
106400.0,922300.0,16830.83,0,5.29,57.1,21.0,18.0,1
69100.0,603800.0,11018.6,2,1.11,58.3,18.4,5.0,1
106200.0,1074300.0,19604.64,8,1.7,61.9,19.8,5.0,1
127100.0,1158700.0,21144.83,1,2.66,69.2,25.4,0.0,1
155500.0,1161100.0,21188.63,1,2.72,75.3,31.6,0.0,1
76600.0,585200.0,10679.17,1,0.31,56.3,23.7,18.0,1
62100.0,609600.0,11124.44,2,2.33,59.4,19.7,5.0,1
54900.0,412300.0,7523.96,2,1.22,52.6,11.6,5.0,1
160000.0,1224700.0,22349.25,2,0.78,96.0,27.2,0.0,1
52700.0,385500.0,7034.89,1,1.76,59.1,14.8,18.0,1
82900.0,687900.0,12553.32,2,0.59,62.3,31.3,0.0,1
106400.0,848100.0,15476.77,0,7.51,87.5,23.7,0.0,1
191700.0,1596400.0,29132.31,2,0.82,70.8,21.3,0.0,1
137000.0,1272400.0,23219.72,2,4.1,92.7,27.2,18.0,1
76600.0,778400.0,14204.83,3,0.35,60.2,20.1,5.0,1
69400.0,633500.0,11560.59,3,2.91,52.1,18.7,0.0,1
20100.0,211100.0,3852.31,3,0.5,83.8,46.5,18.0,1
22300.0,192300.0,3509.24,2,2.01,74.1,19.0,5.0,1
85300.0,610600.0,11142.69,4,2.12,74.7,13.6,5.0,1
46400.0,412400.0,7525.79,3,6.06,63.3,21.3,0.0,1
